,Cohort,Total Cohort,Total Grads - n,Total Grads - % of cohort,Total Regents - n,Total Regents - % of cohort,Total Regents - % of grads,Advanced Regents - n,Advanced Regents - % of cohort,Advanced Regents - % of grads,Regents w/o Advanced - n,Regents w/o Advanced - % of cohort,Regents w/o Advanced - % of grads,Local - n,Local - % of cohort,Local - % of grads,Still Enrolled - n,Still Enrolled - % of cohort,Dropped Out - n,Dropped Out - % of cohort,BORO,Income,y
1,2004,55,37,67.3,17,30.9,45.9,0,0.0,0.0,17,30.9,45.9,20,36.4,54.1,15,27.3,3,5.5,M,42065,67.2
2,2005,64,43,67.2,27,42.2,62.8,0,0.0,0.0,27,42.2,62.8,16,25.0,37.2,9,14.1,9,14.1,M,42065,56.4
4,2001,64,46,71.90000000000002,32,50.0,69.6,7,10.9,15.2,25,39.1,54.3,14,21.9,30.4,10,15.6,6,9.4,M,42065,63.5
5,2002,52,33,63.5,19,36.5,57.6,8,15.4,24.2,11,21.2,33.3,14,26.9,42.4,16,30.8,1,1.9,M,42065,77.0
6,2003,87,67,77.0,39,44.8,58.2,11,12.6,16.4,28,32.2,41.8,28,32.2,41.8,9,10.3,11,12.6,M,42065,67.0
7,2004,112,75,67.0,36,32.1,48.0,6,5.4,8.0,30,26.8,40.0,39,34.8,52.0,33,29.5,4,3.6,M,42065,52.9
8,2005,121,64,52.9,35,28.9,54.7,4,3.3,6.3,31,25.6,48.4,29,24.0,45.3,41,33.9,11,9.1,M,42065,48.4
10,2001,61,41,67.2,40,65.6,97.6,0,0.0,0.0,40,65.6,97.6,1,1.6,2.4,7,11.5,12,19.7,M,42065,62.5
11,2002,72,45,62.5,45,62.5,100.0,0,0.0,0.0,45,62.5,100.0,0,0.0,0.0,18,25.0,7,9.7,M,42065,62.0
12,2003,79,49,62.0,44,55.7,89.8,0,0.0,0.0,44,55.7,89.8,5,6.3,10.2,20,25.3,10,12.7,M,42065,72.5
13,2004,80,58,72.5,48,60.0,82.8,0,0.0,0.0,48,60.0,82.8,10,12.5,17.2,13,16.3,9,11.3,M,42065,71.8
14,2005,85,61,71.8,58,68.2,95.1,0,0.0,0.0,58,68.2,95.1,3,3.5,4.9,11,12.9,9,10.6,M,42065,78.9
16,2001,69,34,49.3,6,8.7,17.6,0,0.0,0.0,6,8.7,17.6,28,40.6,82.4,19,27.5,10,14.5,M,42065,40.0
17,2002,55,22,40.0,11,20.0,50.0,4,7.3,18.2,7,12.7,31.8,11,20.0,50.0,18,32.7,11,20.0,M,42065,44.3
18,2003,70,31,44.3,22,31.4,71.0,0,0.0,0.0,22,31.4,71.0,9,12.9,29.0,20,28.6,18,25.7,M,42065,44.6
19,2004,65,29,44.6,13,20.0,44.8,3,4.6,10.3,10,15.4,34.5,16,24.6,55.2,27,41.5,8,12.3,M,42065,55.7
20,2005,88,49,55.7,38,43.2,77.59999999999998,18,20.5,36.7,20,22.7,40.8,11,12.5,22.4,20,22.7,14,15.9,M,42065,59.5
22,2001,166,88,53.0,36,21.7,40.9,0,0.0,0.0,36,21.7,40.9,53,31.9,60.2,45,27.1,30,18.1,M,42065,44.8
23,2002,172,77,44.8,53,30.8,68.8,0,0.0,0.0,53,30.8,68.8,24,14.0,31.2,67,39.0,28,16.3,M,42065,42.0
24,2003,205,86,42.0,71,34.6,82.6,48,23.4,55.8,23,11.2,26.7,15,7.3,17.4,80,39.0,39,19.0,M,42065,48.5
25,2004,200,97,48.5,74,37.0,76.3,60,30.0,61.9,14,7.0,14.4,23,11.5,23.7,78,39.0,25,12.5,M,42065,45.5
26,2005,154,70,45.5,56,36.4,80.0,45,29.2,64.3,11,7.1,15.7,14,9.1,20.0,64,41.6,20,13.0,M,42065,54.4
30,2003,58,58,100.0,57,98.3,98.3,49,84.5,84.5,8,13.8,13.8,1,1.7,1.7,0,0.0,0,0.0,M,42065,96.7
31,2004,60,58,96.7,58,96.7,100.0,54,90.0,93.1,4,6.7,6.9,0,0.0,0.0,0,0.0,2,3.3,M,42065,95.9
32,2005,49,47,95.9,47,95.9,100.0,38,77.59999999999998,80.9,9,18.4,19.1,0,0.0,0.0,2,4.1,0,0.0,M,42065,100.0
34,2001,86,27,31.4,2,2.3,7.4,0,0.0,0.0,2,2.3,7.4,25,29.1,92.6,47,54.7,11,12.8,M,42065,23.9
35,2002,92,22,23.9,6,6.5,27.3,0,0.0,0.0,6,6.5,27.3,16,17.4,72.7,62,67.4,8,8.7,M,42065,29.0
36,2003,93,27,29.0,7,7.5,25.9,0,0.0,0.0,7,7.5,25.9,20,21.5,74.09999999999998,62,66.7,4,4.3,M,42065,41.8
37,2004,67,28,41.8,10,14.9,35.70000000000001,0,0.0,0.0,10,14.9,35.70000000000001,18,26.9,64.3,31,46.3,7,10.4,M,42065,32.6
38,2005,95,31,32.6,17,17.9,54.8,0,0.0,0.0,17,17.9,54.8,14,14.7,45.2,54,56.8,7,7.4,M,42065,55.1
40,2001,119,112,94.1,110,92.4,98.2,0,0.0,0.0,110,92.4,98.2,2,1.7,1.8,5,4.2,2,1.7,M,42065,94.5
41,2002,110,104,94.5,103,93.6,99.0,0,0.0,0.0,103,93.6,99.0,1,0.9,1.0,6,5.5,0,0.0,M,42065,97.6
42,2003,126,123,97.6,123,97.6,100.0,0,0.0,0.0,123,97.6,100.0,0,0.0,0.0,2,1.6,1,0.8,M,42065,92.3
43,2004,117,108,92.3,108,92.3,100.0,0,0.0,0.0,108,92.3,100.0,0,0.0,0.0,8,6.8,1,0.9,M,42065,93.0
44,2005,115,107,93.0,107,93.0,100.0,0,0.0,0.0,107,93.0,100.0,0,0.0,0.0,7,6.1,1,0.9,M,42065,97.8
50,2005,24,9,37.5,4,16.7,44.4,0,0.0,0.0,4,16.7,44.4,5,20.8,55.6,9,37.5,3,12.5,M,92628,76.0
55,2004,80,53,66.3,50,62.5,94.3,0,0.0,0.0,50,62.5,94.3,3,3.8,5.7,11,13.8,16,20.0,M,92628,74.7
56,2005,79,59,74.7,48,60.8,81.4,0,0.0,0.0,48,60.8,81.4,11,13.9,18.6,17,21.5,2,2.5,M,92628,90.2
60,2004,96,81,84.4,48,50.0,59.3,0,0.0,0.0,48,50.0,59.3,33,34.4,40.7,10,10.4,5,5.2,M,92628,77.09999999999998
61,2005,70,54,77.09999999999998,53,75.7,98.1,0,0.0,0.0,53,75.7,98.1,1,1.4,1.9,15,21.4,0,0.0,M,92628,75.3
64,2004,81,59,72.8,39,48.1,66.1,0,0.0,0.0,39,48.1,66.1,20,24.7,33.9,15,18.5,7,8.6,M,92628,81.3
65,2005,91,74,81.3,63,69.2,85.1,6,6.6,8.1,57,62.6,77.0,11,12.1,14.9,11,12.1,4,4.4,M,92628,80.0
69,2004,115,98,85.2,98,85.2,100.0,41,35.70000000000001,41.8,57,49.6,58.2,0,0.0,0.0,8,7.0,7,6.1,M,92628,83.7
70,2005,98,82,83.7,77,78.59999999999998,93.9,13,13.3,15.9,64,65.3,78.0,5,5.1,6.1,13,13.3,2,2.0,M,92628,85.9
74,2004,83,57,68.7,53,63.9,93.0,2,2.4,3.5,51,61.4,89.5,4,4.8,7.0,21,25.3,5,6.0,M,92628,74.7
75,2005,79,59,74.7,57,72.2,96.6,4,5.1,6.8,53,67.1,89.8,2,2.5,3.4,13,16.5,3,3.8,M,92628,71.3
78,2005,105,47,44.8,47,44.8,100.0,0,0.0,0.0,47,44.8,100.0,0,0.0,0.0,35,33.3,20,19.0,M,92628,59.2
81,2005,70,50,71.40000000000002,41,58.6,82.0,2,2.9,4.0,39,55.7,78.0,9,12.9,18.0,8,11.4,9,12.9,M,92628,75.4
84,2005,67,52,77.59999999999998,30,44.8,57.7,2,3.0,3.8,28,41.8,53.8,22,32.8,42.3,7,10.4,7,10.4,M,92628,70.6
87,2003,25,15,60.0,4,16.0,26.7,0,0.0,0.0,4,16.0,26.7,11,44.0,73.3,8,32.0,2,8.0,M,92628,29.5
88,2004,44,13,29.5,7,15.9,53.8,0,0.0,0.0,7,15.9,53.8,6,13.6,46.2,25,56.8,4,9.1,M,92628,38.5
89,2005,78,30,38.5,15,19.2,50.0,0,0.0,0.0,15,19.2,50.0,15,19.2,50.0,35,44.9,8,10.3,M,92628,57.0
93,2005,77,49,63.6,32,41.6,65.3,6,7.8,12.2,26,33.8,53.1,17,22.1,34.7,20,26.0,7,9.1,M,92628,80.59999999999998
95,2005,68,50,73.5,13,19.1,26.0,0,0.0,0.0,13,19.1,26.0,37,54.4,74.0,10,14.7,4,5.9,M,92628,78.5
98,2001,360,271,75.3,197,54.7,72.7,73,20.3,26.9,124,34.4,45.8,74,20.6,27.3,54,15.0,26,7.2,M,92628,74.2
99,2002,372,276,74.2,222,59.7,80.4,80,21.5,29.0,142,38.2,51.4,54,14.5,19.6,61,16.4,31,8.3,M,92628,73.09999999999998
100,2003,312,228,73.09999999999998,178,57.1,78.09999999999998,68,21.8,29.8,110,35.3,48.2,50,16.0,21.9,48,15.4,32,10.3,M,92628,79.5
101,2004,297,236,79.5,202,68.0,85.6,95,32.0,40.3,107,36.0,45.3,34,11.4,14.4,47,15.8,11,3.7,M,92628,70.1
102,2005,344,241,70.1,191,55.5,79.3,68,19.8,28.2,123,35.8,51.0,50,14.5,20.7,75,21.8,15,4.4,M,92628,81.5
104,2001,40,32,80.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,32,80.0,100.0,6,15.0,2,5.0,M,92628,83.0
105,2002,53,44,83.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,44,83.0,100.0,8,15.1,1,1.9,M,92628,78.59999999999998
106,2003,70,55,78.59999999999998,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,55,78.59999999999998,100.0,13,18.6,2,2.9,M,92628,66.0
107,2004,50,33,66.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,33,66.0,100.0,15,30.0,2,4.0,M,92628,75.9
108,2005,58,44,75.9,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,44,75.9,100.0,12,20.7,1,1.7,M,92628,80.0
110,2001,80,72,90.0,54,67.5,75.0,15,18.8,20.8,39,48.8,54.2,18,22.5,25.0,4,5.0,4,5.0,M,92628,90.6
111,2002,96,87,90.6,71,74.0,81.59999999999998,13,13.5,14.9,58,60.4,66.7,16,16.7,18.4,7,7.3,2,2.1,M,92628,85.7
112,2003,84,72,85.7,61,72.59999999999998,84.7,24,28.6,33.3,37,44.0,51.4,11,13.1,15.3,11,13.1,1,1.2,M,92628,1.2
113,2004,81,1,1.2,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,1,1.2,100.0,79,97.5,1,1.2,M,92628,95.0
114,2005,100,95,95.0,80,80.0,84.2,21,21.0,22.1,59,59.0,62.1,15,15.0,15.8,4,4.0,1,1.0,M,92628,97.5
116,2001,78,44,56.4,13,16.7,29.5,0,0.0,0.0,13,16.7,29.5,31,39.7,70.5,22,28.2,10,12.8,M,92628,53.5
117,2002,86,46,53.5,22,25.6,47.8,0,0.0,0.0,22,25.6,47.8,24,27.9,52.2,19,22.1,21,24.4,M,92628,56.7
118,2003,90,51,56.7,20,22.2,39.2,0,0.0,0.0,20,22.2,39.2,31,34.4,60.8,24,26.7,13,14.4,M,92628,50.7
119,2004,75,38,50.7,11,14.7,28.9,0,0.0,0.0,11,14.7,28.9,27,36.0,71.1,21,28.0,15,20.0,M,92628,75.9
121,2001,92,92,100.0,88,95.7,95.7,63,68.5,68.5,25,27.2,27.2,4,4.3,4.3,0,0.0,0,0.0,M,92628,97.0
122,2002,101,98,97.0,90,89.1,91.8,45,44.6,45.9,45,44.6,45.9,8,7.9,8.2,1,1.0,1,1.0,M,92628,97.9
123,2003,94,92,97.9,89,94.7,96.7,64,68.1,69.6,25,26.6,27.2,3,3.2,3.3,2,2.1,0,0.0,M,92628,97.1
124,2004,104,101,97.1,99,95.2,98.0,65,62.5,64.4,34,32.7,33.7,2,1.9,2.0,2,1.9,1,1.0,M,92628,100.0
125,2005,96,96,100.0,94,97.9,97.9,55,57.3,57.3,39,40.6,40.6,2,2.1,2.1,0,0.0,0,0.0,M,92628,98.1
127,2001,83,82,98.8,80,96.4,97.6,16,19.3,19.5,64,77.09999999999998,78.0,2,2.4,2.4,0,0.0,1,1.2,M,92628,99.0
128,2002,102,101,99.0,97,95.1,96.0,64,62.7,63.4,33,32.4,32.7,4,3.9,4.0,0,0.0,0,0.0,M,92628,98.1
129,2003,104,102,98.1,97,93.3,95.1,75,72.09999999999998,73.5,22,21.2,21.6,5,4.8,4.9,2,1.9,0,0.0,M,92628,97.1
130,2004,102,99,97.1,92,90.2,92.9,57,55.9,57.6,35,34.3,35.4,7,6.9,7.1,2,2.0,1,1.0,M,92628,95.5
131,2005,133,127,95.5,118,88.7,92.9,77,57.9,60.6,41,30.8,32.3,9,6.8,7.1,4,3.0,2,1.5,M,92628,95.2
133,2001,71,67,94.4,67,94.4,100.0,0,0.0,0.0,67,94.4,100.0,0,0.0,0.0,3,4.2,0,0.0,M,92628,76.7
134,2002,73,56,76.7,56,76.7,100.0,0,0.0,0.0,56,76.7,100.0,0,0.0,0.0,14,19.2,3,4.1,M,92628,92.4
135,2003,92,85,92.4,84,91.3,98.8,0,0.0,0.0,84,91.3,98.8,1,1.1,1.2,5,5.4,2,2.2,M,92628,78.09999999999998
136,2004,96,75,78.09999999999998,75,78.09999999999998,100.0,0,0.0,0.0,75,78.09999999999998,100.0,0,0.0,0.0,21,21.9,0,0.0,M,92628,86.9
137,2005,84,73,86.9,73,86.9,100.0,0,0.0,0.0,73,86.9,100.0,0,0.0,0.0,9,10.7,2,2.4,M,92628,78.9
139,2001,53,45,84.9,45,84.9,100.0,5,9.4,11.1,40,75.5,88.9,0,0.0,0.0,8,15.1,0,0.0,M,92628,76.8
140,2002,56,43,76.8,39,69.6,90.7,10,17.9,23.3,29,51.8,67.4,4,7.1,9.3,9,16.1,3,5.4,M,92628,73.09999999999998
141,2003,52,38,73.09999999999998,33,63.5,86.8,7,13.5,18.4,26,50.0,68.4,5,9.6,13.2,12,23.1,2,3.8,M,92628,92.0
142,2004,75,69,92.0,58,77.3,84.1,6,8.0,8.7,52,69.3,75.4,11,14.7,15.9,3,4.0,3,4.0,M,92628,94.0
143,2005,100,94,94.0,80,80.0,85.1,27,27.0,28.7,53,53.0,56.4,14,14.0,14.9,6,6.0,0,0.0,M,92628,96.2
146,2002,101,98,97.0,97,96.0,99.0,0,0.0,0.0,97,96.0,99.0,1,1.0,1.0,2,2.0,1,1.0,M,92628,99.1
147,2003,117,116,99.1,115,98.3,99.1,77,65.8,66.4,38,32.5,32.8,1,0.9,0.9,1,0.9,0,0.0,M,92628,100.0
148,2004,105,105,100.0,101,96.2,96.2,69,65.7,65.7,32,30.5,30.5,4,3.8,3.8,0,0.0,0,0.0,M,92628,99.1
149,2005,115,114,99.1,113,98.3,99.1,76,66.1,66.7,37,32.2,32.5,1,0.9,0.9,0,0.0,0,0.0,M,92628,100.0
151,2002,91,82,90.1,68,74.7,82.9,0,0.0,0.0,68,74.7,82.9,14,15.4,17.1,8,8.800000000000002,1,1.1,M,92628,88.8
152,2003,107,95,88.8,82,76.59999999999998,86.3,21,19.6,22.1,61,57.0,64.2,13,12.1,13.7,11,10.3,1,0.9,M,92628,96.2
153,2004,105,101,96.2,89,84.8,88.1,22,21.0,21.8,67,63.8,66.3,12,11.4,11.9,2,1.9,2,1.9,M,92628,96.7
154,2005,123,119,96.7,106,86.2,89.1,15,12.2,12.6,91,74.0,76.5,13,10.6,10.9,4,3.3,0,0.0,M,92628,99.3
156,2001,79,48,60.8,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,48,60.8,100.0,21,26.6,8,10.1,M,92628,61.1
157,2002,95,58,61.1,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,58,61.1,100.0,22,23.2,15,15.8,M,92628,60.3
158,2003,78,47,60.3,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,47,60.3,100.0,12,15.4,18,23.1,M,92628,52.0
159,2004,100,52,52.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,52,52.0,100.0,33,33.0,12,12.0,M,92628,61.2
160,2005,98,60,61.2,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,60,61.2,100.0,26,26.5,7,7.1,M,92628,64.9
162,2001,307,235,76.5,203,66.1,86.4,52,16.9,22.1,151,49.2,64.3,32,10.4,13.6,41,13.4,28,9.1,M,92628,81.8
163,2002,307,251,81.8,194,63.2,77.3,55,17.9,21.9,139,45.3,55.4,57,18.6,22.7,28,9.1,22,7.2,M,92628,74.8
164,2003,246,184,74.8,112,45.5,60.9,21,8.5,11.4,91,37.0,49.5,72,29.3,39.1,47,19.1,11,4.5,M,92628,77.0
165,2004,269,207,77.0,171,63.6,82.6,48,17.8,23.2,123,45.7,59.4,36,13.4,17.4,58,21.6,1,0.4,M,92628,73.8
166,2005,344,254,73.8,213,61.9,83.9,45,13.1,17.7,168,48.8,66.1,41,11.9,16.1,80,23.3,1,0.3,M,92628,86.2
168,2001,120,84,70.0,15,12.5,17.9,0,0.0,0.0,15,12.5,17.9,69,57.5,82.1,15,12.5,14,11.7,M,92628,69.4
169,2002,121,84,69.4,47,38.8,56.0,19,15.7,22.6,28,23.1,33.3,37,30.6,44.0,8,6.6,19,15.7,M,92628,57.1
170,2003,170,97,57.1,46,27.1,47.4,2,1.2,2.1,44,25.9,45.4,51,30.0,52.6,28,16.5,27,15.9,M,92628,59.6
171,2004,151,90,59.6,45,29.8,50.0,10,6.6,11.1,35,23.2,38.9,45,29.8,50.0,22,14.6,29,19.2,M,92628,50.3
172,2005,143,72,50.3,25,17.5,34.7,0,0.0,0.0,25,17.5,34.7,47,32.9,65.3,35,24.5,27,18.9,M,92628,64.6
174,2001,75,16,21.3,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,16,21.3,100.0,36,48.0,21,28.0,M,92628,33.3
175,2002,75,25,33.3,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,27,36.0,108.0,27,36.0,21,28.0,M,92628,36.8
176,2003,76,28,36.8,2,2.6,7.1,0,0.0,0.0,2,2.6,7.1,26,34.2,92.9,29,38.2,16,21.1,M,92628,38.0
177,2004,71,27,38.0,3,4.2,11.1,0,0.0,0.0,3,4.2,11.1,24,33.8,88.9,19,26.8,24,33.8,M,92628,50.5
178,2005,93,47,50.5,18,19.4,38.3,3,3.2,6.4,15,16.1,31.9,29,31.2,61.7,30,32.3,10,10.8,M,92628,58.9
180,2001,63,54,85.7,33,52.4,61.1,0,0.0,0.0,33,52.4,61.1,21,33.3,38.9,5,7.9,1,1.6,M,92628,75.0
181,2002,80,60,75.0,47,58.8,78.3,0,0.0,0.0,47,58.8,78.3,13,16.3,21.7,15,18.8,1,1.3,M,92628,88.4
182,2003,86,76,88.4,56,65.1,73.7,3,3.5,3.9,53,61.6,69.7,20,23.3,26.3,7,8.1,2,2.3,M,92628,89.7
183,2004,87,78,89.7,64,73.59999999999998,82.1,7,8.0,9.0,57,65.5,73.09999999999998,14,16.1,17.9,4,4.6,4,4.6,M,92628,98.6
184,2005,74,73,98.6,67,90.5,91.8,17,23.0,23.3,50,67.6,68.5,6,8.1,8.2,1,1.4,0,0.0,M,92628,98.2
186,2001,515,265,51.5,121,23.5,45.7,44,8.5,16.6,77,15.0,29.1,144,28.0,54.3,128,24.9,109,21.2,M,92628,41.2
187,2002,510,210,41.2,102,20.0,48.6,34,6.7,16.2,68,13.3,32.4,108,21.2,51.4,195,38.2,88,17.3,M,92628,32.2
188,2003,407,131,32.2,41,10.1,31.3,16,3.9,12.2,25,6.1,19.1,90,22.1,68.7,175,43.0,92,22.6,M,92628,48.2
189,2004,417,201,48.2,54,12.9,26.9,19,4.6,9.5,35,8.4,17.4,147,35.3,73.09999999999998,129,30.9,78,18.7,M,92628,51.0
190,2005,400,204,51.0,85,21.3,41.7,10,2.5,4.9,75,18.8,36.8,119,29.8,58.3,123,30.8,55,13.8,M,92628,46.8
197,2001,329,105,31.9,34,10.3,32.4,0,0.0,0.0,34,10.3,32.4,71,21.6,67.6,89,27.1,109,33.1,M,92628,58.2
202,2001,90,48,53.3,18,20.0,37.5,0,0.0,0.0,18,20.0,37.5,30,33.3,62.5,32,35.6,10,11.1,M,92628,66.7
203,2002,39,26,66.7,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,26,66.7,100.0,5,12.8,7,17.9,M,92628,65.6
204,2003,61,40,65.6,27,44.3,67.5,0,0.0,0.0,27,44.3,67.5,13,21.3,32.5,11,18.0,9,14.8,M,92628,47.1
205,2004,68,32,47.1,30,44.1,93.8,0,0.0,0.0,30,44.1,93.8,2,2.9,6.3,26,38.2,5,7.4,M,92628,78.9
206,2005,76,60,78.9,56,73.7,93.3,0,0.0,0.0,56,73.7,93.3,4,5.3,6.7,13,17.1,0,0.0,M,92628,59.6
208,2001,53,34,64.2,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,34,64.2,100.0,16,30.2,3,5.7,M,92628,60.0
209,2002,55,33,60.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,33,60.0,100.0,17,30.9,4,7.3,M,92628,57.1
210,2003,91,52,57.1,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,52,57.1,100.0,32,35.20000000000001,5,5.5,M,92628,63.6
211,2004,66,42,63.6,31,47.0,73.8,0,0.0,0.0,31,47.0,73.8,11,16.7,26.2,20,30.3,4,6.1,M,92628,52.9
212,2005,68,36,52.9,34,50.0,94.4,0,0.0,0.0,34,50.0,94.4,2,2.9,5.6,22,32.4,7,10.3,M,92628,59.4
214,2001,562,243,43.2,93,16.5,38.3,23,4.1,9.5,70,12.5,28.8,150,26.7,61.7,161,28.6,154,27.4,M,92628,45.5
215,2002,633,288,45.5,124,19.6,43.1,4,0.6,1.4,120,19.0,41.7,164,25.9,56.9,183,28.9,140,22.1,M,92628,42.7
216,2003,623,266,42.7,142,22.8,53.4,18,2.9,6.8,124,19.9,46.6,124,19.9,46.6,200,32.1,141,22.6,M,92628,36.6
217,2004,588,215,36.6,99,16.8,46.0,23,3.9,10.7,76,12.9,35.3,116,19.7,54.0,211,35.9,144,24.5,M,92628,36.6
218,2005,435,159,36.6,84,19.3,52.8,5,1.1,3.1,79,18.2,49.7,75,17.2,47.2,96,22.1,145,33.3,M,92628,53.5
220,2001,765,748,97.8,748,97.8,100.0,744,97.3,99.5,4,0.5,0.5,0,0.0,0.0,15,2.0,2,0.3,M,92628,96.0
221,2002,779,748,96.0,748,96.0,100.0,738,94.7,98.7,10,1.3,1.3,0,0.0,0.0,23,3.0,4,0.5,M,92628,97.2
222,2003,690,671,97.2,671,97.2,100.0,668,96.8,99.6,3,0.4,0.4,0,0.0,0.0,18,2.6,1,0.1,M,92628,97.8
223,2004,694,679,97.8,679,97.8,100.0,674,97.1,99.3,5,0.7,0.7,0,0.0,0.0,14,2.0,1,0.1,M,92628,96.5
224,2005,781,754,96.5,754,96.5,100.0,747,95.6,99.1,7,0.9,0.9,0,0.0,0.0,22,2.8,4,0.5,M,92628,99.1
226,2001,113,93,82.3,64,56.6,68.8,27,23.9,29.0,37,32.7,39.8,29,25.7,31.2,12,10.6,8,7.1,M,92628,82.4
227,2002,148,122,82.4,92,62.2,75.4,27,18.2,22.1,65,43.9,53.3,30,20.3,24.6,12,8.1,13,8.800000000000002,M,92628,74.3
228,2003,136,101,74.3,75,55.1,74.3,1,0.7,1.0,74,54.4,73.3,26,19.1,25.7,21,15.4,12,8.800000000000002,M,92628,78.8
229,2004,146,115,78.8,79,54.1,68.7,34,23.3,29.6,45,30.8,39.1,36,24.7,31.3,19,13.0,12,8.2,M,92628,70.1
230,2005,134,94,70.1,74,55.2,78.7,23,17.2,24.5,51,38.1,54.3,20,14.9,21.3,21,15.7,15,11.2,M,92628,84.7
232,2001,43,14,32.6,9,20.9,64.3,0,0.0,0.0,9,20.9,64.3,5,11.6,35.70000000000001,20,46.5,9,20.9,M,92628,31.9
233,2002,47,15,31.9,15,31.9,100.0,0,0.0,0.0,15,31.9,100.0,0,0.0,0.0,12,25.5,17,36.2,M,92628,40.0
234,2003,30,12,40.0,9,30.0,75.0,0,0.0,0.0,9,30.0,75.0,3,10.0,25.0,10,33.3,8,26.7,M,92628,52.5
235,2004,40,21,52.5,12,30.0,57.1,0,0.0,0.0,12,30.0,57.1,9,22.5,42.9,16,40.0,3,7.5,M,92628,51.2
236,2005,41,21,51.2,8,19.5,38.1,0,0.0,0.0,8,19.5,38.1,13,31.7,61.9,13,31.7,6,14.6,M,92628,73.59999999999998
238,2001,67,62,92.5,48,71.6,77.4,0,0.0,0.0,48,71.6,77.4,14,20.9,22.6,1,1.5,1,1.5,M,92628,83.8
239,2002,80,67,83.8,60,75.0,89.6,15,18.8,22.4,45,56.3,67.2,7,8.800000000000002,10.4,8,10.0,5,6.3,M,92628,88.8
240,2003,134,119,88.8,96,71.6,80.7,49,36.6,41.2,47,35.1,39.5,23,17.2,19.3,12,9.0,3,2.2,M,92628,86.2
241,2004,94,81,86.2,67,71.3,82.7,36,38.3,44.4,31,33.0,38.3,14,14.9,17.3,11,11.7,2,2.1,M,92628,89.1
242,2005,92,82,89.1,66,71.7,80.5,18,19.6,22.0,48,52.2,58.5,16,17.4,19.5,10,10.9,0,0.0,M,92628,93.4
244,2001,597,404,67.7,330,55.3,81.7,56,9.4,13.9,274,45.9,67.8,74,12.4,18.3,100,16.8,73,12.2,M,92628,65.8
245,2002,535,352,65.8,287,53.6,81.5,79,14.8,22.4,208,38.9,59.1,65,12.1,18.5,100,18.7,73,13.6,M,92628,57.1
246,2003,525,300,57.1,226,43.0,75.3,150,28.6,50.0,76,14.5,25.3,74,14.1,24.7,107,20.4,104,19.8,M,92628,50.1
247,2004,611,306,50.1,218,35.70000000000001,71.2,156,25.5,51.0,62,10.1,20.3,88,14.4,28.8,178,29.1,117,19.1,M,92628,57.8
248,2005,585,338,57.8,245,41.9,72.5,37,6.3,10.9,208,35.6,61.5,93,15.9,27.5,145,24.8,73,12.5,M,92628,60.6
250,2001,106,69,65.1,40,37.7,58.0,4,3.8,5.8,36,34.0,52.2,29,27.4,42.0,28,26.4,6,5.7,M,92628,72.9
251,2002,144,105,72.9,66,45.8,62.9,6,4.2,5.7,60,41.7,57.1,39,27.1,37.1,26,18.1,8,5.6,M,92628,54.4
252,2003,147,80,54.4,50,34.0,62.5,7,4.8,8.800000000000002,43,29.3,53.8,30,20.4,37.5,51,34.7,16,10.9,M,92628,64.2
253,2004,134,86,64.2,65,48.5,75.59999999999998,49,36.6,57.0,16,11.9,18.6,21,15.7,24.4,31,23.1,16,11.9,M,92628,60.9
254,2005,174,106,60.9,76,43.7,71.7,23,13.2,21.7,53,30.5,50.0,30,17.2,28.3,49,28.2,13,7.5,M,92628,69.6
256,2002,215,28,13.0,4,1.9,14.3,0,0.0,0.0,4,1.9,14.3,24,11.2,85.7,173,80.5,14,6.5,M,92628,13.5
257,2001,36,17,47.2,3,8.3,17.6,0,0.0,0.0,3,8.3,17.6,14,38.9,82.4,11,30.6,7,19.4,M,92628,68.9
258,2002,45,31,68.9,17,37.8,54.8,0,0.0,0.0,17,37.8,54.8,14,31.1,45.2,4,8.9,10,22.2,M,92628,82.9
259,2003,35,29,82.9,14,40.0,48.3,0,0.0,0.0,14,40.0,48.3,15,42.9,51.7,4,11.4,2,5.7,M,92628,87.5
260,2004,40,35,87.5,17,42.5,48.6,0,0.0,0.0,17,42.5,48.6,18,45.0,51.4,4,10.0,1,2.5,M,92628,88.6
261,2005,44,39,88.6,28,63.6,71.8,0,0.0,0.0,28,63.6,71.8,11,25.0,28.2,5,11.4,0,0.0,M,92628,87.8
